code insee,ville,code postal,latitude,longitude,pays
2460,MARCY SOUS MARLE,2250,49.738528886, 3.80415822108,FR
2477,MERCIN ET VAUX,2200,49.3519078898, 3.32022130463,FR
2467,MARIZY ST MARD,2470,49.1587462946, 3.23193409616,FR
2490,MONAMPTEUIL,2000,49.5539294526, 3.59337928423,FR
2474,MENNESSIS,2700,49.6402663387, 3.29629531322,FR
2482,MEURIVAL,2160,49.3988991643, 3.73817191868,FR
2453,MAIZY,2160,49.3988991643, 3.73817191868,FR
2422,LESQUIELLES ST GERMAIN,2120,49.8880905983, 3.64129929098,FR
2435,LOGNY LES AUBENTON,2500,49.890758884, 4.10750632589,FR
2451,MAGNY LA FOSSE,2420,49.965313712, 3.25435934968,FR
2428,LICY CLIGNON,2810,49.0972662755, 3.19919233532,FR
2448,MACHECOURT,2350,49.6393180069, 3.83480530276,FR
2446,LY FONTAINE,2440,49.7371553151, 3.27915713778,FR
2426,LEVERGIES,2420,49.965313712, 3.25435934968,FR
2449,MACOGNY,2470,49.1587462946, 3.23193409616,FR
2427,LHUYS,2220,49.3180108636, 3.5439628093,FR
2558,LE NOUVION EN THIERACHE,2170,50.0019463297, 3.79418155637,FR
2538,NANTEUIL NOTRE DAME,2210,49.2129002416, 3.35011614589,FR
2535,NAMPCELLES LA COUR,2140,49.8210899574, 3.91454720458,FR
2537,NANTEUIL LA FOSSE,2880,49.4238582409, 3.38402828695,FR
2533,MURET ET CROUTTES,2210,49.2129002416, 3.35011614589,FR
2532,MOY DE L AISNE,2610,49.7503485769, 3.3508195834,FR
2552,NEUVILLETTE,2390,49.8377010181, 3.51039258756,FR
2542,NEUFLIEUX,2300,49.5817295222, 3.19169688143,FR
2554,NOGENTEL,2400,49.0643447361, 3.3912505936,FR
2539,NAUROY,2420,49.965313712, 3.25435934968,FR
2511,MONTIGNY EN ARROUAISE,2110,49.9673733527, 3.44143561655,FR
2515,MONTIGNY LES CONDE,2330,48.9761149923, 3.54081832468,FR
2512,MONTIGNY L ALLIER,2810,49.0972662755, 3.19919233532,FR
2501,MONTCHALONS,2860,49.4877552055, 3.68304619282,FR
2500,MONTBREHAIN,2110,49.9673733527, 3.44143561655,FR
2502,MONTCORNET,2340,49.6857429854, 4.02291889368,FR
2518,MONTLEVON,2330,48.9761149923, 3.54081832468,FR
2499,MONTBAVIN,2000,49.5539294526, 3.59337928423,FR
2525,MORCOURT,2100,49.8685441759, 3.30178111999,FR
2529,MORTIERS,2270,49.714634271, 3.5968851996,FR
2403,LANDIFAY ET BERTAIGNEMONT,2120,49.8880905983, 3.64129929098,FR
2405,LANDOUZY LA VILLE,2140,49.8210899574, 3.91454720458,FR
2393,JOUAIGNES,2220,49.3180108636, 3.5439628093,FR
2378,LA HERIE,2500,49.890758884, 4.10750632589,FR
2398,JUVIGNY,2880,49.4238582409, 3.38402828695,FR
2391,JEANTES,2140,49.8210899574, 3.91454720458,FR
2385,HOUSSET,2250,49.738528886, 3.80415822108,FR
